Bedford,Station,Latitude,Longitude,Depth,TOXN Dal UMOL/L,SI Dal UMOL/L,PO4 Dal UMOL/L
100266,14,42.21166667,-44.391,4881.398,17.95,23.86,1.14
100267,14,42.21166667,-44.391,4799.998,18.14,24.43,1.16
100268,14,42.21166667,-44.391,4399.235,18.06,25.51,1.16
100269,14,42.21166667,-44.391,4099.186,18.07,25.25,1.30
100270,14,42.21166667,-44.391,3801.338,18.78,24.47,1.27
100271,14,42.21166667,-44.391,3499.181,17.83,19.63,1.21
100272,14,42.21166667,-44.391,3199.703,16.67,13.80,0.99
100273,14,42.21166667,-44.391,2899.445,16.37,12.69,1.01
100274,14,42.21166667,-44.391,2599.673,16.83,12.66,0.96
100275,14,42.21166667,-44.391,2299.043,17.54,12.93,1.12
100276,14,42.21166667,-44.391,1999.519,17.86,12.12,1.06
100277,14,42.21166667,-44.391,1747.965,17.35,11.09,1.03
100278,14,42.21166667,-44.391,1498.569,17.65,10.84,1.06
100279,14,42.21166667,-44.391,1249.865,18.30,11.42,1.21
100280,14,42.21166667,-44.391,997.795,20.53,12.90,1.26
100281,14,42.21166667,-44.391,799.923,21.83,13.09,1.44
100282,14,42.21166667,-44.391,599.563,15.02,7.25,0.90
100283,14,42.21166667,-44.391,399.256,8.24,3.65,0.48
100284,14,42.21166667,-44.391,301.205,6.11,2.45,0.32
100285,14,42.21166667,-44.391,201.6,5.93,2.20,0.26
100286,14,42.21166667,-44.391,119.724,3.14,1.22,0.14
100287,14,42.21166667,-44.391,70.517,2.91,1.05,0.14
100288,14,42.21166667,-44.391,40.567,2.94,1.10,0.16
100289,14,42.21166667,-44.391,11.506,2.82,1.05,0.14
100362,22,43.68933333,-39.31766667,4596.078,17.85,26.30,1.25
100363,22,43.68933333,-39.31766667,4586.014,17.95,26.91,1.31
100364,22,43.68933333,-39.31766667,4202.055,17.84,24.66,1.28
100365,22,43.68933333,-39.31766667,3901.909,17.75,23.48,1.30
100366,22,43.68933333,-39.31766667,3601.219,17.30,21.78,1.32
100367,22,43.68933333,-39.31766667,3300.702,17.32,18.08,1.21
100368,22,43.68933333,-39.31766667,3001.121,16.52,15.90,1.12
100369,22,43.68933333,-39.31766667,2700.907,16.50,13.79,1.12
100370,22,43.68933333,-39.31766667,2402.174,16.72,13.10,1.05
100371,22,43.68933333,-39.31766667,2101.097,17.27,13.00,1.11
100372,22,43.68933333,-39.31766667,1799.909,16.96,10.95,1.16
100373,22,43.68933333,-39.31766667,1600.31,17.04,10.38,1.23
100374,22,43.68933333,-39.31766667,1399.071,17.05,10.50,1.26
100375,22,43.68933333,-39.31766667,1199.789,17.39,10.47,1.24
100376,22,43.68933333,-39.31766667,998.605,18.33,11.08,1.28
100377,22,43.68933333,-39.31766667,799.815,19.93,12.08,1.36
100378,22,43.68933333,-39.31766667,600.623,20.55,12.11,1.44
100379,22,43.68933333,-39.31766667,460.06,17.47,8.69,1.25
100380,22,43.68933333,-39.31766667,301.052,10.80,4.61,0.75
100381,22,43.68933333,-39.31766667,198.638,4.93,1.77,0.37
100382,22,43.68933333,-39.31766667,99.252,4.03,1.62,0.34
100383,22,43.68933333,-39.31766667,59.468,3.69,1.40,0.28
100384,22,43.68933333,-39.31766667,35.969,4.00,1.38,0.26
100385,22,43.68933333,-39.31766667,10.92,3.87,1.39,0.27
100386,23,43.87266667,-38.673,3849.537,17.64,23.15,1.18
100387,23,43.87266667,-38.673,3799.262,17.40,20.92,1.09
100388,23,43.87266667,-38.673,3502.558,17.35,20.41,1.30
100389,23,43.87266667,-38.673,3301.247,17.16,18.91,1.19
100390,23,43.87266667,-38.673,3050.81,16.76,16.03,1.22
100391,23,43.87266667,-38.673,2857.557,16.62,14.64,1.19
100392,23,43.87266667,-38.673,2698.309,17.06,14.06,1.19
100393,23,43.87266667,-38.673,2499.405,17.08,13.69,1.23
100394,23,43.87266667,-38.673,2300.223,17.32,13.46,1.25
100395,23,43.87266667,-38.673,2099.191,17.31,12.72,1.27
100396,23,43.87266667,-38.673,1898.587,17.44,12.14,1.23
100397,23,43.87266667,-38.673,1698.508,16.83,11.24,1.17
100398,23,43.87266667,-38.673,1499.293,17.89,11.34,1.26
100399,23,43.87266667,-38.673,1299.83,18.11,10.76,1.28
100400,23,43.87266667,-38.673,1099.64,18.43,11.05,1.28
100401,23,43.87266667,-38.673,899.714,19.46,11.90,1.36
100402,23,43.87266667,-38.673,620.243,20.08,11.22,1.34
100403,23,43.87266667,-38.673,518.232,12.55,5.82,0.82
100404,23,43.87266667,-38.673,351.983,8.69,3.50,0.60
100405,23,43.87266667,-38.673,198.826,7.01,2.73,0.43
100406,23,43.87266667,-38.673,119.689,4.33,1.02,0.35
100407,23,43.87266667,-38.673,69.662,4.55,1.37,0.33
100408,23,43.87266667,-38.673,30.068,4.05,1.10,0.32
100409,23,43.87266667,-38.673,10.962,3.98,1.17,0.33
100530,29,44.9815,-34.7705,4071.68,16.87,20.32,1.12
100531,29,44.9815,-34.7705,3899.757,16.92,20.68,1.14
100532,29,44.9815,-34.7705,3598.496,17.99,21.72,1.19
100533,29,44.9815,-34.7705,3300.329,17.74,19.41,1.15
100534,29,44.9815,-34.7705,3099.378,17.54,16.93,1.14
100535,29,44.9815,-34.7705,2900.738,17.26,14.87,1.15
100536,29,44.9815,-34.7705,2699.916,17.28,14.39,1.12
100537,29,44.9815,-34.7705,2499.942,17.38,12.89,1.14
100538,29,44.9815,-34.7705,2299.991,17.30,12.79,1.11
100539,29,44.9815,-34.7705,2099.172,17.46,11.92,1.16
100540,29,44.9815,-34.7705,1900.534,17.57,11.84,1.14
100541,29,44.9815,-34.7705,1699.398,17.55,11.58,1.14
100542,29,44.9815,-34.7705,1499.133,17.65,10.83,1.09
100543,29,44.9815,-34.7705,1298.2,17.29,9.87,1.12
100544,29,44.9815,-34.7705,1097.376,18.15,10.67,1.16
100545,29,44.9815,-34.7705,897.166,18.50,11.00,1.21
100546,29,44.9815,-34.7705,699.238,20.08,11.91,1.28
100547,29,44.9815,-34.7705,548.094,21.20,11.39,1.35
100548,29,44.9815,-34.7705,351.327,12.99,5.88,0.81
100549,29,44.9815,-34.7705,200.429,10.26,3.73,0.61
100550,29,44.9815,-34.7705,120.275,4.81,1.45,0.33
100551,29,44.9815,-34.7705,72.042,5.16,1.45,0.32
100552,29,44.9815,-34.7705,29.652,2.90,0.86,0.23
100553,29,44.9815,-34.7705,11.493,2.73,0.83,0.20
100578,33,45.72066667,-32.12783333,3183.915,17.19,17.56,1.13
100579,33,45.72066667,-32.12783333,3102.912,17.21,17.64,1.17
100580,33,45.72066667,-32.12783333,2899.072,16.86,16.35,1.10
100581,33,45.72066667,-32.12783333,2699.562,16.97,15.20,1.12
100582,33,45.72066667,-32.12783333,2498.507,17.29,14.02,1.17
100583,33,45.72066667,-32.12783333,2299.199,17.68,13.60,1.22
100584,33,45.72066667,-32.12783333,2101.621,17.47,13.26,1.24
100585,33,45.72066667,-32.12783333,1898.029,17.64,12.85,1.24
100586,33,45.72066667,-32.12783333,1701.729,17.24,11.37,1.25
100587,33,45.72066667,-32.12783333,1498.414,16.89,10.64,1.21
100588,33,45.72066667,-32.12783333,1301.202,16.87,10.60,1.17
100589,33,45.72066667,-32.12783333,1098.35,17.19,10.37,1.17
100590,33,45.72066667,-32.12783333,900.803,17.89,10.75,1.20
100591,33,45.72066667,-32.12783333,697.913,18.72,11.20,1.22
100592,33,45.72066667,-32.12783333,601.134,19.78,11.31,1.28
100593,33,45.72066667,-32.12783333,500.684,19.61,10.62,1.29
100594,33,45.72066667,-32.12783333,398.783,12.76,6.06,0.82
100595,33,45.72066667,-32.12783333,301.566,10.38,4.40,0.66
100596,33,45.72066667,-32.12783333,201.592,9.66,3.91,0.63
100597,33,45.72066667,-32.12783333,153.106,9.08,3.50,0.56
100598,33,45.72066667,-32.12783333,100.304,7.55,2.94,0.48
100599,33,45.72066667,-32.12783333,61.499,5.61,1.97,0.35
100600,33,45.72066667,-32.12783333,30.573,3.61,1.63,0.28
100601,33,45.72066667,-32.12783333,11.303,3.50,1.47,0.26
100626,37,46.45966667,-29.44933333,3402.068,16.87,17.90,1.16
100627,37,46.45966667,-29.44933333,3302.45,17.00,17.70,1.14
100628,37,46.45966667,-29.44933333,3100.36,17.19,16.88,1.20
100629,37,46.45966667,-29.44933333,2900.811,17.72,16.16,1.22
100630,37,46.45966667,-29.44933333,2698.722,17.84,15.82,1.26
100631,37,46.45966667,-29.44933333,2499.804,17.93,14.73,1.30
100632,37,46.45966667,-29.44933333,2299.315,17.79,13.61,1.19
100633,37,46.45966667,-29.44933333,2100.149,17.89,13.39,1.21
100634,37,46.45966667,-29.44933333,1899.372,17.28,12.30,1.17
100635,37,46.45966667,-29.44933333,1701.835,17.23,11.70,1.20
100636,37,46.45966667,-29.44933333,1500.304,16.98,10.87,1.12
100637,37,46.45966667,-29.44933333,1298.729,17.31,10.70,1.16
100638,37,46.45966667,-29.44933333,1100.979,18.30,11.47,1.20
100639,37,46.45966667,-29.44933333,899.741,19.52,11.94,1.29
100640,37,46.45966667,-29.44933333,750.732,18.94,10.62,1.25
100641,37,46.45966667,-29.44933333,599.346,16.17,8.15,1.05
100642,37,46.45966667,-29.44933333,500.013,13.56,6.17,0.91
100643,37,46.45966667,-29.44933333,399.441,10.50,4.55,0.71
100644,37,46.45966667,-29.44933333,300.76,8.05,3.47,0.56
100645,37,46.45966667,-29.44933333,200.544,7.14,3.10,0.51
100646,37,46.45966667,-29.44933333,120.105,7.67,3.43,0.53
100647,37,46.45966667,-29.44933333,69.674,4.55,1.80,0.33
100648,37,46.45966667,-29.44933333,30.522,4.11,1.56,0.32
100649,37,46.45966667,-29.44933333,10.76,3.98,1.42,0.30
100722,42,46.99016667,-26.30183333,3005.619,18.69,25.04,1.24
100723,42,46.99016667,-26.30183333,2900.719,17.93,23.17,1.21
100724,42,46.99016667,-26.30183333,2701.217,17.88,19.82,1.20
100725,42,46.99016667,-26.30183333,2499.27,17.99,17.19,1.19
100726,42,46.99016667,-26.30183333,2301.691,17.69,14.74,1.11
100727,42,46.99016667,-26.30183333,2099.344,17.59,13.76,1.12
100728,42,46.99016667,-26.30183333,1898.985,17.30,11.90,1.12
100729,42,46.99016667,-26.30183333,1699.356,17.67,11.18,1.11
100730,42,46.99016667,-26.30183333,1499.863,17.28,10.65,1.10
100731,42,46.99016667,-26.30183333,1298.398,17.14,10.16,1.09
100732,42,46.99016667,-26.30183333,1098.876,17.51,10.09,1.10
100733,42,46.99016667,-26.30183333,999.865,17.82,10.19,1.16
100734,42,46.99016667,-26.30183333,900.09,18.13,10.93,1.13
100735,42,46.99016667,-26.30183333,800.302,18.49,10.65,1.17
100736,42,46.99016667,-26.30183333,700.434,#N/A,#N/A,#N/A
100737,42,46.99016667,-26.30183333,600.914,19.53,11.13,1.20
100738,42,46.99016667,-26.30183333,500.19,18.70,10.00,1.20
100739,42,46.99016667,-26.30183333,402.622,17.49,8.80,1.07
100740,42,46.99016667,-26.30183333,300.835,14.30,6.30,0.85
100741,42,46.99016667,-26.30183333,201.585,9.57,4.04,0.60
100742,42,46.99016667,-26.30183333,100.33,8.51,3.43,0.51
100743,42,46.99016667,-26.30183333,60.225,6.69,2.63,0.47
100744,42,46.99016667,-26.30183333,35.996,5.20,1.75,0.37
100745,42,46.99016667,-26.30183333,10.912,2.32,0.35,0.19
100818,46,47.43933333,-23.433,3720.737,22.05,44.02,1.49
100819,46,47.43933333,-23.433,3501.843,20.73,37.14,1.37
100820,46,47.43933333,-23.433,3199.014,19.88,29.48,1.25
100821,46,47.43933333,-23.433,2901.136,19.08,23.96,1.24
100822,46,47.43933333,-23.433,2599.943,18.05,17.25,1.17
100823,46,47.43933333,-23.433,2300.733,18.08,13.80,1.12
100824,46,47.43933333,-23.433,2100.177,17.77,12.85,1.14
100825,46,47.43933333,-23.433,1900.223,17.44,11.92,1.08
100826,46,47.43933333,-23.433,1700.819,17.28,10.78,1.09
100827,46,47.43933333,-23.433,1498.954,17.77,10.65,1.13
100828,46,47.43933333,-23.433,1298.744,17.83,10.22,1.11
100829,46,47.43933333,-23.433,1101.142,18.20,10.46,1.14
100830,46,47.43933333,-23.433,899.722,18.46,10.17,1.13
100831,46,47.43933333,-23.433,799.895,18.59,10.14,1.16
100832,46,47.43933333,-23.433,699.481,18.83,9.73,1.10
100833,46,47.43933333,-23.433,601.535,18.01,8.63,1.09
100834,46,47.43933333,-23.433,500.828,14.64,5.94,0.85
100835,46,47.43933333,-23.433,399.775,13.33,5.03,0.79
100836,46,47.43933333,-23.433,299.846,11.15,3.74,0.62
100837,46,47.43933333,-23.433,200.684,8.07,2.55,0.48
100838,46,47.43933333,-23.433,101.031,6.80,2.08,0.39
100839,46,47.43933333,-23.433,60.343,4.76,0.92,0.34
100840,46,47.43933333,-23.433,36.7,2.43,0.03,0.19
100841,46,47.43933333,-23.433,11.395,2.35,-0.14,0.20
100890,49,47.77466667,-21.26766667,4461.49,22.54,47.00,1.54
100891,49,47.77466667,-21.26766667,4400.836,22.23,45.69,1.52
100892,49,47.77466667,-21.26766667,4199.099,22.30,46.11,1.54
100893,49,47.77466667,-21.26766667,3900.864,22.08,44.98,1.49
100894,49,47.77466667,-21.26766667,3600.322,20.62,40.49,1.48
100895,49,47.77466667,-21.26766667,3300.884,19.74,33.70,1.37
100896,49,47.77466667,-21.26766667,3001.745,18.92,27.04,1.29
100897,49,47.77466667,-21.26766667,2799.366,18.50,22.94,1.27
100898,49,47.77466667,-21.26766667,2600.37,18.11,18.49,1.18
100899,49,47.77466667,-21.26766667,2400.387,17.66,14.86,1.17
100900,49,47.77466667,-21.26766667,2200.152,18.18,13.93,1.16
100901,49,47.77466667,-21.26766667,1999.472,17.97,13.29,1.21
100902,49,47.77466667,-21.26766667,1800.886,18.11,12.19,1.17
100903,49,47.77466667,-21.26766667,1599.923,18.07,11.65,1.17
100904,49,47.77466667,-21.26766667,1400.318,17.83,11.22,1.07
100905,49,47.77466667,-21.26766667,1199.11,18.12,11.05,1.09
100906,49,47.77466667,-21.26766667,999.261,18.56,11.37,1.17
100907,49,47.77466667,-21.26766667,748.627,18.23,10.11,1.12
100908,49,47.77466667,-21.26766667,601.233,16.07,8.23,1.07
100909,49,47.77466667,-21.26766667,399.14,12.70,5.61,0.82
