Name,Lough Bunaveela
Latitude,54.021
Longitude,-9.545
Elevation (m),120
Surface area (m2),460160.0527
Max depth (m),22
Mean depth (m),7.42946012
Volume (m3),3418740.761
Depth of surface measurement (m) <= 1m,
,
,
dateTime (UTC),Tw (degC)
13/02/2009 00:00,3.71
13/02/2009 00:30,3.71
13/02/2009 01:00,3.71
13/02/2009 01:30,3.71
13/02/2009 02:00,3.71
13/02/2009 02:30,3.87
13/02/2009 03:00,3.87
13/02/2009 03:30,3.87
13/02/2009 04:00,3.87
13/02/2009 04:30,3.87
13/02/2009 05:00,3.71
13/02/2009 05:30,3.87
13/02/2009 06:00,3.87
13/02/2009 06:30,3.71
13/02/2009 07:00,3.87
13/02/2009 07:30,3.87
13/02/2009 08:00,3.87
13/02/2009 08:30,3.87
13/02/2009 09:00,3.87
13/02/2009 09:30,3.87
13/02/2009 10:00,3.87
13/02/2009 10:30,3.87
13/02/2009 11:00,3.87
13/02/2009 11:30,3.87
13/02/2009 12:00,3.87
13/02/2009 12:30,4.02
13/02/2009 13:00,4.02
13/02/2009 13:30,4.02
13/02/2009 14:00,4.02
13/02/2009 14:30,4.02
13/02/2009 15:00,4.02
13/02/2009 15:30,4.02
13/02/2009 16:00,4.02
13/02/2009 16:30,4.02
13/02/2009 17:00,3.87
13/02/2009 17:30,3.87
13/02/2009 18:00,3.87
13/02/2009 18:30,3.87
13/02/2009 19:00,3.87
13/02/2009 19:30,3.87
13/02/2009 20:00,3.87
13/02/2009 20:30,3.87
13/02/2009 21:00,3.87
13/02/2009 21:30,4.02
13/02/2009 22:00,4.02
13/02/2009 22:30,4.02
13/02/2009 23:00,4.02
13/02/2009 23:30,4.02
14/02/2009 00:00,4.02
14/02/2009 00:30,4.02
14/02/2009 01:00,4.02
14/02/2009 01:30,4.02
14/02/2009 02:00,4.02
14/02/2009 02:30,4.02
14/02/2009 03:00,4.02
14/02/2009 03:30,4.02
14/02/2009 04:00,4.02
14/02/2009 04:30,4.02
14/02/2009 05:00,4.02
14/02/2009 05:30,4.02
14/02/2009 06:00,4.02
14/02/2009 06:30,4.02
14/02/2009 07:00,4.02
14/02/2009 07:30,4.02
14/02/2009 08:00,4.02
14/02/2009 08:30,4.02
14/02/2009 09:00,4.18
14/02/2009 09:30,4.18
14/02/2009 10:00,4.18
14/02/2009 10:30,4.18
14/02/2009 11:00,4.18
14/02/2009 11:30,4.18
14/02/2009 12:00,4.18
14/02/2009 12:30,4.18
14/02/2009 13:00,4.18
14/02/2009 13:30,4.18
14/02/2009 14:00,4.18
14/02/2009 14:30,4.18
14/02/2009 15:00,4.18
14/02/2009 15:30,4.18
14/02/2009 16:00,4.18
14/02/2009 16:30,4.18
14/02/2009 17:00,4.18
14/02/2009 17:30,4.18
14/02/2009 18:00,4.18
14/02/2009 18:30,4.18
14/02/2009 19:00,4.34
14/02/2009 19:30,4.34
14/02/2009 20:00,4.34
14/02/2009 20:30,4.34
14/02/2009 21:00,4.18
14/02/2009 21:30,4.18
14/02/2009 22:00,4.18
14/02/2009 22:30,4.18
14/02/2009 23:00,4.18
14/02/2009 23:30,4.18
15/02/2009 00:00,4.18
15/02/2009 00:30,4.18
15/02/2009 01:00,4.18
15/02/2009 01:30,4.18
15/02/2009 02:00,4.34
15/02/2009 02:30,4.18
15/02/2009 03:00,4.34
15/02/2009 03:30,4.34
15/02/2009 04:00,4.34
15/02/2009 04:30,4.34
15/02/2009 05:00,4.34
15/02/2009 05:30,4.34
15/02/2009 06:00,4.34
15/02/2009 06:30,4.34
15/02/2009 07:00,4.34
15/02/2009 07:30,4.34
15/02/2009 08:00,4.34
15/02/2009 08:30,4.34
15/02/2009 09:00,4.34
15/02/2009 09:30,4.34
15/02/2009 10:00,4.34
15/02/2009 10:30,4.34
15/02/2009 11:00,4.34
15/02/2009 11:30,4.34
15/02/2009 12:00,4.34
15/02/2009 12:30,4.34
15/02/2009 13:00,4.34
15/02/2009 13:30,4.34
15/02/2009 14:00,4.34
15/02/2009 14:30,4.34
15/02/2009 15:00,4.34
15/02/2009 15:30,4.49
15/02/2009 16:00,4.49
15/02/2009 16:30,4.49
15/02/2009 17:00,4.49
15/02/2009 17:30,4.49
15/02/2009 18:00,4.49
15/02/2009 18:30,4.49
15/02/2009 19:00,4.49
15/02/2009 19:30,4.49
