Bedford,Date,Station,Latitude,Longitude,Depth,density (CTD S & Lab T),CTD_Temp1,CTD_Temp2,CTD_Salt1,CTD_Salt2,TOxN to submit umol/l,TOxN to submit umol/kg,TOxN_Flag,Si_to submit umol/l,Si_to submit umol/kg,Silicate_Flag,Nitrite umol/l,Nitrite umol/kg,Nitrite_Flag,Phosphate_MI umol/l,Phosphate umol/kg,Phosphate_Flag,Nitrate umol/l,Nitrate umol/kg,Nitrate_Flag,,,,,
100000,29/04/2017,1,43.503,-50.0048,59.174,1023.376866,0.6509,0.6516,33.182,33.1865,7.20,7.04,2,5.88,5.75,2,0.13,0.13,2,0.85,0.83,2,7.07,6.91,2,,,,,
100001,29/04/2017,1,43.503,-50.0048,59.168,1023.37679,0.6502,0.6507,33.1819,33.1866,6.94,6.78,2,5.90,5.76,2,0.10,0.09,2,0.85,0.83,2,6.84,6.69,2,,,,,
100002,29/04/2017,1,43.503,-50.0048,58.757,1023.376866,0.6502,0.6509,33.182,33.1866,6.99,6.83,2,6.11,5.97,2,0.12,0.12,2,0.86,0.84,2,6.86,6.71,2,,,,,
100003,29/04/2017,1,43.503,-50.0048,58.655,1023.376714,0.6504,0.651,33.1818,33.1866,6.97,6.81,2,5.97,5.84,2,0.11,0.11,2,0.88,0.86,2,6.87,6.71,2,,,,,
100004,29/04/2017,1,43.503,-50.0048,45.212,1023.376638,0.6503,0.651,33.1817,33.1859,7.08,6.92,2,5.90,5.77,2,0.13,0.12,2,0.85,0.83,2,6.95,6.80,2,,,,,
100005,29/04/2017,1,43.503,-50.0048,44.087,1023.376409,0.6501,0.6504,33.1814,33.185,7.14,6.98,2,5.89,5.75,2,0.12,0.12,2,1.01,0.99,2,7.02,6.86,2,,,,,
100006,29/04/2017,1,43.503,-50.0048,44.355,1023.376409,0.6507,0.6512,33.1814,33.1858,6.85,6.69,2,5.90,5.76,2,0.12,0.12,2,0.86,0.84,2,6.73,6.58,2,,,,,
100007,29/04/2017,1,43.503,-50.0048,44.23,1023.376333,0.6507,0.6515,33.1813,33.1855,6.93,6.77,2,5.86,5.73,2,0.11,0.11,2,0.85,0.83,2,6.81,6.66,2,,,,,
100008,29/04/2017,1,43.503,-50.0048,40.683,1023.337009,0.6009,0.6029,33.1297,33.1342,6.37,6.22,2,5.14,5.03,2,0.13,0.13,2,0.82,0.80,2,6.23,6.09,2,,,,,
100009,29/04/2017,1,43.503,-50.0048,40.487,1023.337086,0.6006,0.6041,33.1298,33.1367,6.47,6.33,2,5.05,4.93,2,0.11,0.11,2,0.80,0.79,2,6.37,6.22,2,,,,,
100011,29/04/2017,1,43.503,-50.0048,40.823,1023.339143,0.6035,0.6058,33.1325,33.1379,6.41,6.27,2,5.13,5.01,2,0.13,0.13,2,0.82,0.80,2,6.28,6.14,2,,,,,
100012,29/04/2017,1,43.503,-50.0048,29.792,1023.183918,0.7555,0.7598,32.9288,32.932,3.66,3.58,2,0.49,0.48,2,0.10,0.10,2,0.52,0.51,2,3.56,3.48,2,,,,,
100013,29/04/2017,1,43.503,-50.0048,29.7,1023.183766,0.7611,0.7601,32.9286,32.9319,3.46,3.38,2,0.42,0.41,2,0.09,0.09,2,0.52,0.50,2,3.36,3.29,2,,,,,
