Variable,Units,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,date,dd/mm/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,year,2011-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
month,1 to 12,integer: 1= January 12 = december,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colour_black,mg L-1 Pt-Co,measured using a HACH Dr 2000 spectrophotometer at 455 nm on water filtered through Whatman GF/C filters (pore size: 1.22 µm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colour_glenamong,mg L-1 Pt-Co,measured using a HACH Dr 2000 spectrophotometer at 455 nm on water filtered through Whatman GF/C filters (pore size: 1.22 µm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colour_rough,mg L-1 Pt-Co,measured using a HACH Dr 2000 spectrophotometer at 455 nm on water filtered through Whatman GF/C filters (pore size: 1.22 µm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spi,Index ,"The Standardised Precipitation Index (SPI) was calculated using the R package 'SPEI' (Beguería et al., 2014) using daily precipitation data from the Newport weather station over 21 years (1995 - 2016). (Beguería, S., Vicente-Serrano, S.M., Reig, F., and Latorre, B.: Standardized precipitation evapotranspiration index (SPEI) revisited: parameter fitting, evapotranspiration models, tools, datasets and drought monitoring, Int. J. Climatol., 34 (10), 3001–3023, 2014.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drought,1/0,1 (drought) when SPI was<-1.5. Not drought (0) when SPI >-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nao_mon,Index ,"Monthly means of the NAO index were downloaded from the National Oceanic and Atmospheric Administration (NOAA, 2017) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nao_we,Index ,"Weekly means of the NAO index were downloaded from the National Oceanic and Atmospheric Administration (NOAA, 2017) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxtemp,°C,Daily maximum temperature measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mintemp,°C,Daily minimum temperature measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meantemp,°C,Average daily temperature measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tot_rain,mm,Total daily rainfall measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meanwind,knots,Average wind speed measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxgust,knots,Maximum wind gustmeasured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solarrad,kWh/m2,Average solar radiation measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humidity,%,Average humidity measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cblpressure,hPa,Average barometric pressure measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp5,°C,Average soil temperature measured at 5 cm depth at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp10,°C,Average soil temperature measured at 10 cm depth at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp20,°C,Average soil temperature measured at 20 cm depth at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp30,°C,Average soil temperature measured at 30 cm depth at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp50,°C,Average soil temperature measured at 50 cm depth at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp100,°C,Average soil temperature measured at  100 cm depth at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grassmin,°C,Daily minimum grass temperature measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sun_hours,Hours,Total sunshine hours measured at the Newport Manual weather station using a campbell stokes sunshine recorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po_evap,mm day -1,"Calculated from the daily precipitaion data measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations) and equations from Priestly and Taylor (1972) (Priestley, C.H.B., and Taylor, R.J.:  On the assessment of surface heat flux and evaporation using large-scale parameters, Mon. Weather Rev., 100:81–2, 1972.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac_evap,mm day -1,"Calculated from the daily precipitaion data measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations) and equations from Priestly and Taylor (1972) (Priestley, C.H.B., and Taylor, R.J.:  On the assessment of surface heat flux and evaporation using large-scale parameters, Mon. Weather Rev., 100:81–2, 1972.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smd,mm day -1,"Calculated from the daily precipitaion data measured at the Newport automatic climate station (Newport  AWS www.met.ie/climate/weather-observing-stations) and equations from Priestly and Taylor (1972) (Priestley, C.H.B., and Taylor, R.J.:  On the assessment of surface heat flux and evaporation using large-scale parameters, Mon. Weather Rev., 100:81–2, 1972.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dis_black,m3,"Water levels (cm) were recorded every 15 minutes at each site using OTT Hydrometry Orpheus Mini water level loggers. No reliable rating curve was available for the Black river, discharge was estimated using the drainage area ratio method based on the Glenamong discharge (Hirsch, 1979). (Hirsch, R.M.: An evaluation of some record reconstruction techniques, Water Resour. Res., 15 (6): 1781–1790 https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/WR015i006p01781, 1979.) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dis_glen,m3,Water levels (cm) were recorded every 15 minutes at each site using OTT Hydrometry Orpheus Mini water level loggers. The level was converted to volume of discharge (m3) using a site specific ratings curves ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dis_rough,m3,Water levels (cm) were recorded every 15 minutes at each site using OTT Hydrometry Orpheus Mini water level loggers. The level was converted to volume of discharge (m3) using a site specific ratings curves for the Srahrevagh river (also called the Rough river),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxtemp_we,°C,as for maxtemp but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mintemp_we,°C,as for mintemp but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meantemp_we,°C,as for meantem but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tot_rain_we,mm,as for tot_rain but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meanwind_we,knots,as for meanwindbut weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxgust_we,knots,as for maxgust but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solarrad_we,kWh/m2,as for solarrad but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humidity_we,%,as for humidity but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cblpressure_we,hPa,as for cblpressure but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp5_we,°C,as for stemp5 but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp10_we,°C,as for stemp10 but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp20_we,°C,as for stemp20 but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp30_we,°C,as for stemp30 but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp50_we,°C,as for stemp50 but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stemp100_we,°C,as for stemp1000 but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grassmin_we,°C,as for grassmin but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sun_hours_we,Hours,as for sun_hours but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po_evap_we,mm day -1,as for po_evap but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac_evap_we,mm day -1,as for ac_eva but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smd_we,mm day -1,as for smd but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dis_black_we,m3,as for dis_black but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dis_glen_we,m3,as for dis_glen but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dis_rough_we,m3,as for dis_rough but weekly average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,year,month,colour_black,colour_glenamong,colour_rough,spi,drought,nao_mon,nao_we,maxtemp,mintemp,meantemp,tot_rain,meanwind,maxgust,solarrad,humidity,cblpressure,stemp5,stemp10,stemp20,stemp30,stemp50,stemp100,grassmin,sun_hours,po_evap,ac_evap,smd,dis_black,dis_glen,dis_rough,maxtemp_we,mintemp_we,meantemp_we,tot_rain_we,meanwind_we,maxgust_we,solarrad_we,humidity_we,cblpressure_we,stemp5_we,stemp10_we,stemp20_we,stemp30_we,stemp50_we,stemp100_we,grassmin_we,sun_hours_we,po_evap_we,ac_evap_we,smd_we,dis_black_we,dis_glen_we,dis_rough_we
03/01/2011,2011,1,106,84,169,-0.518807578,0,-0.88,-1.724666667,4.6,-3.1,0.7,0,3.1,15.3,314.5,79.9,1020.9,1,1.6,2.7,3.8,-1.3,6.4,-9.8,4.2,0.369,0.369,0.688,1.262299583,0.18500869,0.059606044,5.666666667,0.1,2.866666667,0.066666667,3.333333333,13.53333333,205.9666667,82.06666667,1025.4,3.3,3.733333333,4.466666667,4.966666667,-0.933333333,6.3,-3.8,1.6,0.221334976,0.221334976,0.402581757,1.725699826,0.206305442,0.066594216
10/01/2011,2011,1,103,90,154,-0.518807578,0,-0.88,-1.131428571,6.5,3.3,4.9,5.4,10.8,32.7,86,95.6,994.9,3.4,3.3,3,3.1,-2.6,5.7,1.4,0,0.143,0.143,0,1.550780313,0.553096695,0.103388706,6.057142857,0.428571429,3.228571429,4.128571429,8.671428571,29.12857143,206.3428571,87.6,996.7571429,1.928571429,2.157142857,2.5,3.057142857,-2.2,6.085714286,-3.114285714,2.757142857,0.313142897,0.313142897,0.050430263,1.598520179,0.434970264,0.099866648
17/01/2011,2011,1,70,81,60,-0.518807578,0,-0.88,0.421571429,9.7,1.5,5.6,0.5,4.8,17.8,329.7,82.7,1016.1,4.2,4.7,5.5,6,-0.3,6.5,-2.8,6,0.644,0.644,0.144,7.111924271,0.965495126,0.12127188,10.02857143,5.585714286,7.8,6.5,11.14285714,31.18571429,174.4571429,90.74285714,1000.5,6.514285714,6.5,6.242857143,5.957142857,-1.057142857,5.9,3.471428571,2,0.328459196,0.328459196,0.020585564,8.160430209,2.312157354,0.560446662
24/01/2011,2011,1,65,44,52,-0.518807578,0,-0.88,-0.350285714,8.6,2.3,5.5,1.8,6.6,23.9,170,89.1,1034.5,3.8,3.7,3.5,3.6,-2.4,5.8,-0.9,0.1,0.198,0.198,1.594,0.805843333,0.16655834,0.059945313,7.471428571,0.085714286,3.785714286,0.385714286,4.842857143,14.97142857,359.9142857,90.04285714,1035.257143,1.828571429,2.057142857,2.585714286,3.314285714,-1.942857143,6.257142857,-4.957142857,5.228571429,0.582396281,0.582396281,1.544651598,1.994216325,0.292987955,0.07051609
